 ,Area,Mean,Min,Max
319,3,255,255,255
320,34,255,255,255
321,6,255,255,255
322,5,255,255,255
323,1,255,255,255
324,1,255,255,255
325,1,255,255,255
326,3,255,255,255
327,2,255,255,255
328,20,255,255,255
329,19,255,255,255
330,2,255,255,255
331,4,255,255,255
332,1,255,255,255
333,10,255,255,255
334,1,255,255,255
335,1,255,255,255
336,4,255,255,255
337,64,255,255,255
338,50,255,255,255
339,2,255,255,255
340,6,255,255,255
341,1,255,255,255
342,3,255,255,255
343,9,255,255,255
344,5,255,255,255
345,594,255,255,255
346,6,255,255,255
347,1,255,255,255
348,13,255,255,255
349,2,255,255,255
350,19,255,255,255
351,19,255,255,255
352,2,255,255,255
353,1,255,255,255
354,1,255,255,255
355,4,255,255,255
356,2,255,255,255
357,1,255,255,255
358,15,255,255,255
359,2,255,255,255
360,1,255,255,255
361,133,255,255,255
362,4,255,255,255
363,6,255,255,255
364,32,255,255,255
365,1,255,255,255
366,2,255,255,255
367,5,255,255,255
368,2,255,255,255
369,1,255,255,255
370,1,255,255,255
371,1,255,255,255
372,5,255,255,255
373,7,255,255,255
374,20,255,255,255
375,4,255,255,255
376,29,255,255,255
377,9,255,255,255
378,2,255,255,255
379,1,255,255,255
380,1,255,255,255
381,4,255,255,255
382,2,255,255,255
383,5,255,255,255
384,4,255,255,255
385,1,255,255,255
386,3,255,255,255
387,10,255,255,255
388,2,255,255,255
389,1,255,255,255
390,1,255,255,255
391,3,255,255,255
392,16,255,255,255
393,2,255,255,255
394,1,255,255,255
395,40,255,255,255
396,17,255,255,255
397,2,255,255,255
398,3,255,255,255
399,6,255,255,255
400,1,255,255,255
401,35,255,255,255
402,128,255,255,255
403,1,255,255,255
404,1,255,255,255
405,3,255,255,255
406,81,255,255,255
407,8,255,255,255
408,3,255,255,255
409,2,255,255,255
410,1,255,255,255
411,2,255,255,255
412,1,255,255,255
413,1,255,255,255
414,5,255,255,255
415,7,255,255,255
416,4,255,255,255
417,7,255,255,255
418,1,255,255,255
419,15,255,255,255
420,16,255,255,255
421,1,255,255,255
422,1,255,255,255
423,1,255,255,255
424,1,255,255,255
425,168,255,255,255
426,10,255,255,255
427,5,255,255,255
428,39,255,255,255
429,2,255,255,255
430,17,255,255,255
431,5,255,255,255
432,1,255,255,255
433,1,255,255,255
434,3,255,255,255
435,1,255,255,255
436,2,255,255,255
437,1,255,255,255
438,2,255,255,255
439,1,255,255,255
440,26,255,255,255
441,42,255,255,255
442,55,255,255,255
443,60,255,255,255
444,1,255,255,255
445,2,255,255,255
446,4,255,255,255
447,7,255,255,255
448,3,255,255,255
449,1,255,255,255
450,1,255,255,255
451,1,255,255,255
452,2,255,255,255
453,15,255,255,255
454,5,255,255,255
455,4,255,255,255
456,2,255,255,255
457,24,255,255,255
458,5,255,255,255
459,1,255,255,255
460,1,255,255,255
461,1,255,255,255
462,1,255,255,255
463,6,255,255,255
464,1,255,255,255
465,14,255,255,255
